optimizer,lr,seed,epoch,val_loss,val_top1,val_top5
muon,0.01,44,1,0.839800,71.1100,98.1400
muon,0.01,44,2,0.610000,78.9400,98.7800
muon,0.01,44,3,0.567400,80.6100,99.0000
muon,0.01,44,4,0.432500,85.2400,99.3000
muon,0.01,44,5,0.407100,86.2500,99.3900
muon,0.01,44,6,0.361300,87.6100,99.6300
muon,0.01,44,7,0.322300,88.8100,99.7100
muon,0.01,44,8,0.326000,88.8200,99.6700
muon,0.01,44,9,0.276700,90.6400,99.6900
muon,0.01,44,10,0.302700,90.2900,99.6700
muon,0.01,44,11,0.266600,91.3400,99.7400
muon,0.01,44,12,0.252600,91.7600,99.7700
muon,0.01,44,13,0.262100,91.5500,99.7800
muon,0.01,44,14,0.235500,92.2400,99.8300
muon,0.01,44,15,0.243200,92.1100,99.8200
muon,0.01,44,16,0.234300,92.6800,99.7700
muon,0.01,44,17,0.231900,92.8800,99.8300
muon,0.01,44,18,0.225500,93.1800,99.8400
muon,0.01,44,19,0.225100,93.4400,99.8100
muon,0.01,44,20,0.220700,93.3300,99.8400
muon,0.01,44,21,0.217800,93.4200,99.8400
muon,0.01,44,22,0.217800,93.5400,99.8400
muon,0.01,44,23,0.217300,93.5300,99.8500
muon,0.02,42,0,1.263800,58.7000,95.8300
muon,0.02,42,1,0.747300,74.6000,98.0500
muon,0.02,42,2,0.575500,79.9300,98.8800
muon,0.02,42,3,0.464600,83.9900,99.3600
muon,0.02,42,4,0.414400,86.0900,99.4200
muon,0.02,42,5,0.357500,87.7300,99.5900
muon,0.02,42,6,0.327900,88.9100,99.7400
muon,0.02,42,7,0.295200,89.9700,99.7100
muon,0.02,42,8,0.297400,89.8100,99.7800
muon,0.02,42,9,0.281500,90.5400,99.8200
muon,0.02,42,10,0.272800,90.8000,99.7600
muon,0.02,42,11,0.251600,91.3800,99.8100
muon,0.02,42,12,0.243700,91.9100,99.7600
muon,0.02,42,13,0.243700,92.1500,99.8300
muon,0.02,42,14,0.245700,92.0500,99.7800
muon,0.02,42,15,0.232100,92.5300,99.7500
muon,0.02,42,16,0.227200,93.0400,99.8100
muon,0.02,42,17,0.220700,92.9900,99.7300
muon,0.02,42,18,0.212300,93.5900,99.8100
muon,0.02,42,19,0.213900,93.4700,99.8300
muon,0.02,42,20,0.210900,93.6100,99.8100
muon,0.02,42,21,0.207400,93.7600,99.8100
muon,0.02,42,22,0.207000,93.8200,99.8200
muon,0.02,42,23,0.207200,93.7800,99.8200
muon,0.02,43,0,1.292600,57.6200,95.3000
muon,0.02,43,1,0.675500,77.0000,98.5300
muon,0.02,43,2,0.494900,83.1200,99.0900
muon,0.02,43,3,0.435000,85.2700,99.3100
muon,0.02,43,4,0.497400,82.8600,99.1200
muon,0.02,43,5,0.360600,87.5400,99.6200
muon,0.02,43,6,0.338900,88.4200,99.6000
muon,0.02,43,7,0.316600,89.2400,99.6600
