optimizer,lr,seed,completed,num_epochs_observed,total_epochs,wallclock_s,final_val_top1,best_val_top1,last3_val_top1,final_val_loss,best_val_loss,sweep_dir,log_path
orscale_muon,0.005,44,1,24,24,90.800,92.6300,92.6300,92.5833,0.2465,0.2465,20260421_021945,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_021945/name=orscale_muon_lr=0.005_seed=44.log
orscale_muon,0.01,42,1,24,24,90.400,93.6000,93.6300,93.6033,0.2044,0.2041,20260421_021945,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_021945/name=orscale_muon_lr=0.01_seed=42.log
orscale_muon,0.01,43,1,24,24,91.400,93.6300,93.6300,93.6067,0.2081,0.2081,20260421_021945,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_021945/name=orscale_muon_lr=0.01_seed=43.log
orscale_muon,0.01,44,1,24,24,91.500,93.5800,93.5800,93.5533,0.2045,0.2045,20260421_021945,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_021945/name=orscale_muon_lr=0.01_seed=44.log
orscale_muon,0.02,42,1,24,24,91.300,94.1500,94.1500,94.0433,0.1906,0.1906,20260421_021945,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_021945/name=orscale_muon_lr=0.02_seed=42.log
orscale_muon,0.02,43,1,24,24,90.900,93.9600,94.0300,93.9800,0.1956,0.1956,20260421_021945,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_021945/name=orscale_muon_lr=0.02_seed=43.log
orscale_muon,0.02,44,1,24,24,121.800,94.2000,94.2000,94.1667,0.1881,0.1881,20260421_021945,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_021945/name=orscale_muon_lr=0.02_seed=44.log
orscale_muon,0.04,42,1,24,24,121.700,94.0100,94.0200,94.0100,0.2041,0.2041,20260421_021945,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_021945/name=orscale_muon_lr=0.04_seed=42.log
orscale_muon,0.04,43,1,24,24,123.000,93.9000,93.9000,93.8733,0.2053,0.2053,20260421_021945,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_021945/name=orscale_muon_lr=0.04_seed=43.log
orscale_muon,0.04,44,1,24,24,123.000,93.9100,93.9600,93.9167,0.2019,0.2019,20260421_021945,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_021945/name=orscale_muon_lr=0.04_seed=44.log
orscale_muon_wd,0.005,42,1,24,24,91.700,92.3600,92.3900,92.3467,0.2497,0.2497,20260421_023125,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_023125/name=orscale_muon_wd_lr=0.005_seed=42.log
orscale_muon_wd,0.005,43,1,24,24,91.400,92.1900,92.2800,92.1800,0.2555,0.2552,20260421_023125,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_023125/name=orscale_muon_wd_lr=0.005_seed=43.log
orscale_muon_wd,0.005,44,1,24,24,112.800,92.3900,92.4900,92.4000,0.2517,0.2517,20260421_023125,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_023125/name=orscale_muon_wd_lr=0.005_seed=44.log
orscale_muon_wd,0.01,42,1,24,24,112.900,93.7800,93.7800,93.7267,0.2027,0.2027,20260421_023125,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_023125/name=orscale_muon_wd_lr=0.01_seed=42.log
orscale_muon_wd,0.01,43,1,24,24,121.300,93.3400,93.3400,93.2933,0.2169,0.2169,20260421_023125,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_023125/name=orscale_muon_wd_lr=0.01_seed=43.log
orscale_muon_wd,0.01,44,1,24,24,120.400,93.6900,93.6900,93.6333,0.2042,0.2042,20260421_023125,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_023125/name=orscale_muon_wd_lr=0.01_seed=44.log
orscale_muon_wd,0.02,42,1,24,24,122.900,93.9600,93.9800,93.9567,0.1946,0.1946,20260421_023125,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_023125/name=orscale_muon_wd_lr=0.02_seed=42.log
orscale_muon_wd,0.02,43,1,24,24,122.800,94.1100,94.1100,94.0967,0.1901,0.1901,20260421_023125,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_023125/name=orscale_muon_wd_lr=0.02_seed=43.log
orscale_muon_wd,0.02,44,1,24,24,92.200,94.1600,94.1600,94.1100,0.1924,0.1924,20260421_023125,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_023125/name=orscale_muon_wd_lr=0.02_seed=44.log
orscale_muon_wd,0.04,42,1,24,24,93.400,93.9900,93.9900,93.9700,0.1958,0.1951,20260421_023125,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_023125/name=orscale_muon_wd_lr=0.04_seed=42.log
orscale_muon_wd,0.04,43,1,24,24,121.000,93.8500,93.8500,93.8333,0.1958,0.1958,20260421_023125,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_023125/name=orscale_muon_wd_lr=0.04_seed=43.log
orscale_muon_wd,0.04,44,1,24,24,119.700,93.6700,93.7200,93.6400,0.2031,0.2031,20260421_023125,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_023125/name=orscale_muon_wd_lr=0.04_seed=44.log
orscale_muon_moonlight,0.005,42,1,24,24,91.800,92.5900,92.5900,92.5333,0.2413,0.2409,20260421_024353,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_024353/name=orscale_muon_moonlight_lr=0.005_seed=42.log
orscale_muon_moonlight,0.005,43,1,24,24,93.000,92.5300,92.7100,92.5900,0.2455,0.2455,20260421_024353,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_024353/name=orscale_muon_moonlight_lr=0.005_seed=43.log
orscale_muon_moonlight,0.005,44,1,24,24,121.600,92.6300,92.6800,92.6133,0.2495,0.2495,20260421_024353,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_024353/name=orscale_muon_moonlight_lr=0.005_seed=44.log
orscale_muon_moonlight,0.01,42,1,24,24,120.800,93.5400,93.5500,93.5433,0.2079,0.2079,20260421_024353,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_024353/name=orscale_muon_moonlight_lr=0.01_seed=42.log
orscale_muon_moonlight,0.01,43,1,24,24,90.800,93.4300,93.4400,93.4367,0.2133,0.2133,20260421_024353,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_024353/name=orscale_muon_moonlight_lr=0.01_seed=43.log
orscale_muon_moonlight,0.01,44,1,24,24,92.700,93.5700,93.5700,93.5467,0.2128,0.2128,20260421_024353,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_024353/name=orscale_muon_moonlight_lr=0.01_seed=44.log
orscale_muon_moonlight,0.02,42,1,24,24,121.400,94.1800,94.2500,94.1700,0.1792,0.1792,20260421_024353,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_024353/name=orscale_muon_moonlight_lr=0.02_seed=42.log
orscale_muon_moonlight,0.02,43,1,24,24,120.300,93.8600,94.0200,93.9300,0.1804,0.1804,20260421_024353,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_024353/name=orscale_muon_moonlight_lr=0.02_seed=43.log
orscale_muon_moonlight,0.02,44,1,24,24,91.400,94.0900,94.0900,94.0600,0.1840,0.1840,20260421_024353,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_024353/name=orscale_muon_moonlight_lr=0.02_seed=44.log
orscale_muon_moonlight,0.04,42,1,24,24,90.700,93.7400,93.8400,93.6733,0.1986,0.1984,20260421_024353,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_024353/name=orscale_muon_moonlight_lr=0.04_seed=42.log
orscale_muon_moonlight,0.04,43,1,24,24,120.200,93.8400,93.8400,93.8200,0.1976,0.1976,20260421_024353,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_024353/name=orscale_muon_moonlight_lr=0.04_seed=43.log
orscale_muon_moonlight,0.04,44,1,24,24,119.200,94.0000,94.0000,93.9200,0.1978,0.1978,20260421_024353,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_024353/name=orscale_muon_moonlight_lr=0.04_seed=44.log
mutrust,0.005,42,1,24,24,90.800,94.0000,94.0000,93.9767,0.2037,0.2037,20260421_025555,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_025555/name=mutrust_lr=0.005_seed=42.log
mutrust,0.005,43,1,24,24,92.700,93.6800,93.7000,93.6867,0.2048,0.2048,20260421_025555,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_025555/name=mutrust_lr=0.005_seed=43.log
mutrust,0.005,44,1,24,24,118.600,93.8500,93.9000,93.8467,0.2096,0.2096,20260421_025555,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_025555/name=mutrust_lr=0.005_seed=44.log
