optimizer,lr,seed,epoch,step,train_loss,train_top1,lr_mult,elapsed_s
muon,0.005,43,20,1950,0.016500,99.7300,0.1018,76.800
muon,0.005,43,20,2000,0.016400,99.7300,0.0774,78.400
muon,0.005,43,21,2050,0.015400,99.7300,0.0560,80.500
muon,0.005,43,21,2100,0.014500,99.7600,0.0379,82.100
muon,0.005,43,22,2150,0.013400,99.8400,0.0232,84.100
muon,0.005,43,22,2200,0.012900,99.8300,0.0120,85.800
muon,0.005,43,23,2250,0.012900,99.8400,0.0045,87.800
muon,0.005,43,23,2300,0.012500,99.8200,0.0006,89.500
muon,0.005,44,0,50,2.284900,15.3900,0.1000,6.000
muon,0.005,44,1,100,1.930100,40.4900,0.2000,8.600
muon,0.005,44,1,150,1.697600,46.2900,0.3000,10.700
muon,0.005,44,2,200,1.111900,63.1800,0.4000,13.200
muon,0.005,44,2,250,0.963000,67.3200,0.5000,15.300
muon,0.005,44,3,300,0.693300,76.4100,0.6000,17.900
muon,0.005,44,3,350,0.636200,78.5700,0.7000,20.000
muon,0.005,44,4,400,0.496200,83.4000,0.8000,22.500
muon,0.005,44,4,450,0.478700,84.0600,0.9000,24.500
muon,0.005,44,5,500,0.397400,86.9800,1.0000,27.100
muon,0.005,44,5,550,0.384400,87.1700,0.9982,29.200
muon,0.005,44,6,600,0.313500,89.6900,0.9926,31.600
muon,0.005,44,6,650,0.309300,89.8300,0.9835,33.700
muon,0.005,44,7,700,0.245900,92.0800,0.9708,36.200
muon,0.005,44,7,750,0.253100,91.7400,0.9546,38.200
muon,0.005,44,8,800,0.207900,93.1600,0.9350,40.700
muon,0.005,44,8,850,0.208700,93.1200,0.9122,42.900
muon,0.005,44,9,900,0.175700,94.4900,0.8864,45.400
muon,0.005,44,9,950,0.174400,94.4600,0.8578,47.500
muon,0.005,44,10,1000,0.143400,95.4000,0.8265,50.100
muon,0.005,44,10,1050,0.148100,95.2900,0.7928,52.100
muon,0.005,44,11,1100,0.116900,96.3900,0.7569,54.600
muon,0.005,44,11,1150,0.119400,96.2700,0.7192,56.700
muon,0.005,44,12,1200,0.103100,96.8600,0.6798,59.300
muon,0.005,44,12,1250,0.100800,96.9700,0.6391,61.400
muon,0.005,44,13,1300,0.077600,97.6000,0.5973,63.900
muon,0.005,44,13,1350,0.077700,97.6300,0.5549,66.000
muon,0.005,44,14,1400,0.064400,98.1000,0.5120,68.600
muon,0.005,44,14,1450,0.064800,98.1100,0.4691,70.600
muon,0.005,44,15,1500,0.049500,98.7000,0.4264,73.100
muon,0.005,44,15,1550,0.051200,98.6100,0.3842,75.200
muon,0.005,44,16,1600,0.039600,99.0000,0.3429,77.700
muon,0.005,44,17,1650,0.044400,98.4400,0.3027,80.300
muon,0.005,44,17,1700,0.029700,99.3500,0.2640,82.400
muon,0.005,44,18,1750,0.026800,99.4100,0.2271,84.900
muon,0.005,44,18,1800,0.025700,99.4700,0.1921,87.000
muon,0.005,44,19,1850,0.015900,99.7200,0.1594,89.600
muon,0.005,44,19,1900,0.019500,99.6300,0.1293,91.700
muon,0.005,44,20,1950,0.012400,99.8600,0.1018,94.200
muon,0.005,44,20,2000,0.015000,99.7600,0.0774,96.400
muon,0.005,44,21,2050,0.013600,99.8000,0.0560,98.900
muon,0.005,44,21,2100,0.014000,99.7800,0.0379,101.000
muon,0.005,44,22,2150,0.011100,99.8800,0.0232,103.600
muon,0.005,44,22,2200,0.011500,99.8500,0.0120,105.700
muon,0.005,44,23,2250,0.010600,99.8700,0.0045,108.300
muon,0.005,44,23,2300,0.010500,99.8900,0.0006,110.400
muon,0.01,42,0,50,2.247700,22.5500,0.1000,6.100
muon,0.01,42,1,100,1.644500,49.0200,0.2000,8.700
muon,0.01,42,1,150,1.365100,55.5800,0.3000,10.800
muon,0.01,42,2,200,0.810500,73.6300,0.4000,13.300
muon,0.01,42,2,250,0.734000,75.2100,0.5000,15.400
muon,0.01,42,3,300,0.524400,83.0900,0.6000,17.900
muon,0.01,42,3,350,0.514100,82.9800,0.7000,19.900
muon,0.01,42,4,400,0.420800,86.5100,0.8000,22.500
muon,0.01,42,4,450,0.409300,86.6500,0.9000,24.500
muon,0.01,42,5,500,0.347600,88.4200,1.0000,27.000
muon,0.01,42,5,550,0.343000,88.6500,0.9982,29.100
muon,0.01,42,6,600,0.290100,90.8000,0.9926,31.600
muon,0.01,42,6,650,0.287000,90.6300,0.9835,33.700
muon,0.01,42,7,700,0.222900,92.8000,0.9708,36.200
muon,0.01,42,7,750,0.232400,92.5000,0.9546,38.200
muon,0.01,42,8,800,0.191400,93.8500,0.9350,40.800
muon,0.01,42,8,850,0.192300,93.7200,0.9122,42.900
muon,0.01,42,9,900,0.153500,95.3200,0.8864,45.400
muon,0.01,42,9,950,0.159100,94.9200,0.8578,47.500
muon,0.01,42,10,1000,0.129400,95.9000,0.8265,50.100
muon,0.01,42,10,1050,0.134100,95.6300,0.7928,52.200
muon,0.01,42,11,1100,0.107100,96.7400,0.7569,54.700
muon,0.01,42,11,1150,0.111200,96.4500,0.7192,56.800
muon,0.01,42,12,1200,0.086900,97.2700,0.6798,59.300
muon,0.01,42,12,1250,0.088800,97.2100,0.6391,61.400
muon,0.01,42,13,1300,0.071700,97.9200,0.5973,63.900
muon,0.01,42,13,1350,0.072100,97.8600,0.5549,66.100
muon,0.01,42,14,1400,0.055400,98.3800,0.5120,68.600
muon,0.01,42,14,1450,0.056200,98.4100,0.4691,70.700
muon,0.01,42,15,1500,0.046300,98.7500,0.4264,73.200
muon,0.01,42,15,1550,0.045700,98.7500,0.3842,75.300
muon,0.01,42,16,1600,0.035500,99.1500,0.3429,77.800
muon,0.01,42,17,1650,0.020300,99.8000,0.3027,80.300
muon,0.01,42,17,1700,0.026100,99.3700,0.2640,82.400
muon,0.01,42,18,1750,0.024400,99.5100,0.2271,84.900
muon,0.01,42,18,1800,0.021300,99.5800,0.1921,87.100
muon,0.01,42,19,1850,0.016000,99.5300,0.1594,89.600
muon,0.01,42,19,1900,0.016700,99.6800,0.1293,91.700
muon,0.01,42,20,1950,0.014100,99.7900,0.1018,94.300
muon,0.01,42,20,2000,0.013300,99.7700,0.0774,96.400
muon,0.01,42,21,2050,0.011200,99.8600,0.0560,98.900
muon,0.01,42,21,2100,0.010400,99.8900,0.0379,101.100
muon,0.01,42,22,2150,0.010100,99.9100,0.0232,103.600
muon,0.01,42,22,2200,0.010000,99.8700,0.0120,105.700
muon,0.01,42,23,2250,0.008800,99.9000,0.0045,108.300
muon,0.01,42,23,2300,0.008700,99.9200,0.0006,110.400
muon,0.01,43,0,50,2.268600,17.9600,0.1000,5.600
muon,0.01,43,1,100,1.652500,49.2200,0.2000,8.200
muon,0.01,43,1,150,1.395800,54.3400,0.3000,10.300
muon,0.01,43,2,200,0.813100,72.5600,0.4000,12.800
muon,0.01,43,2,250,0.750600,75.0500,0.5000,14.800
muon,0.01,43,3,300,0.534500,82.2500,0.6000,17.300
muon,0.01,43,3,350,0.525400,82.5800,0.7000,19.400
muon,0.01,43,4,400,0.421600,86.2000,0.8000,21.900
muon,0.01,43,4,450,0.418000,86.1500,0.9000,23.900
muon,0.01,43,5,500,0.362200,88.0300,1.0000,26.400
muon,0.01,43,5,550,0.353200,88.3400,0.9982,28.500
muon,0.01,43,6,600,0.281100,90.8500,0.9926,31.100
muon,0.01,43,6,650,0.280000,90.7700,0.9835,33.200
muon,0.01,43,7,700,0.223900,92.9300,0.9708,35.700
muon,0.01,43,7,750,0.232600,92.3600,0.9546,37.800
muon,0.01,43,8,800,0.197400,93.8100,0.9350,40.300
muon,0.01,43,8,850,0.197400,93.5700,0.9122,42.400
muon,0.01,43,9,900,0.162000,94.8700,0.8864,45.000
muon,0.01,43,9,950,0.166700,94.5600,0.8578,47.100
muon,0.01,43,10,1000,0.133600,95.7600,0.8265,49.600
muon,0.01,43,10,1050,0.137500,95.6500,0.7928,51.700
muon,0.01,43,11,1100,0.108800,96.6100,0.7569,54.200
muon,0.01,43,11,1150,0.110400,96.6000,0.7192,56.300
muon,0.01,43,12,1200,0.087400,97.3400,0.6798,58.800
muon,0.01,43,12,1250,0.089100,97.1700,0.6391,60.900
muon,0.01,43,13,1300,0.070500,97.9000,0.5973,63.400
muon,0.01,43,13,1350,0.072200,97.8200,0.5549,65.500
muon,0.01,43,14,1400,0.060300,98.3000,0.5120,68.000
muon,0.01,43,14,1450,0.058500,98.3100,0.4691,70.000
muon,0.01,43,15,1500,0.045000,98.7300,0.4264,72.500
muon,0.01,43,15,1550,0.044400,98.8000,0.3842,74.600
muon,0.01,43,16,1600,0.037800,98.9600,0.3429,77.000
muon,0.01,43,17,1650,0.020300,99.6100,0.3027,79.500
muon,0.01,43,17,1700,0.026700,99.4000,0.2640,81.500
muon,0.01,43,18,1750,0.021600,99.5600,0.2271,84.000
muon,0.01,43,18,1800,0.019700,99.6000,0.1921,86.100
muon,0.01,43,19,1850,0.016600,99.6900,0.1594,88.500
muon,0.01,43,19,1900,0.015600,99.7400,0.1293,90.600
muon,0.01,43,20,1950,0.011800,99.8800,0.1018,93.200
muon,0.01,43,20,2000,0.012800,99.8000,0.0774,95.200
muon,0.01,43,21,2050,0.010900,99.8900,0.0560,97.700
muon,0.01,43,21,2100,0.010800,99.8200,0.0379,99.800
muon,0.01,43,22,2150,0.009100,99.9000,0.0232,102.300
muon,0.01,43,22,2200,0.009800,99.8600,0.0120,104.400
muon,0.01,43,23,2250,0.010600,99.8700,0.0045,106.900
muon,0.01,43,23,2300,0.009500,99.8900,0.0006,109.000
muon,0.01,44,0,50,2.258000,19.7600,0.1000,5.600
muon,0.01,44,1,100,1.668000,46.3500,0.2000,8.000
muon,0.01,44,1,150,1.375400,54.8600,0.3000,10.100
muon,0.01,44,2,200,0.845600,71.5800,0.4000,12.600
muon,0.01,44,2,250,0.740100,75.2000,0.5000,14.700
muon,0.01,44,3,300,0.548300,81.9700,0.6000,17.100
muon,0.01,44,3,350,0.511900,83.1600,0.7000,19.200
muon,0.01,44,4,400,0.416800,86.5600,0.8000,21.600
muon,0.01,44,4,450,0.406900,86.4200,0.9000,23.700
muon,0.01,44,5,500,0.343800,88.9700,1.0000,26.200
muon,0.01,44,5,550,0.339900,88.9400,0.9982,28.300
muon,0.01,44,6,600,0.276800,91.1100,0.9926,30.800
muon,0.01,44,6,650,0.277000,91.0000,0.9835,32.900
muon,0.01,44,7,700,0.225100,92.4900,0.9708,35.500
muon,0.01,44,7,750,0.231200,92.4800,0.9546,37.500
muon,0.01,44,8,800,0.188600,93.9300,0.9350,40.100
muon,0.01,44,8,850,0.189700,93.8200,0.9122,42.200
muon,0.01,44,9,900,0.153900,95.1100,0.8864,44.700
muon,0.01,44,9,950,0.157900,95.0400,0.8578,46.800
muon,0.01,44,10,1000,0.132800,96.0100,0.8265,49.300
muon,0.01,44,10,1050,0.134800,95.7100,0.7928,51.400
muon,0.01,44,11,1100,0.106800,96.6700,0.7569,54.000
muon,0.01,44,11,1150,0.109400,96.5400,0.7192,56.100
muon,0.01,44,12,1200,0.088000,97.3500,0.6798,58.500
muon,0.01,44,12,1250,0.090200,97.2000,0.6391,60.600
muon,0.01,44,13,1300,0.069900,97.9500,0.5973,63.100
muon,0.01,44,13,1350,0.069500,97.9400,0.5549,65.200
muon,0.01,44,14,1400,0.057100,98.3900,0.5120,67.700
muon,0.01,44,14,1450,0.056000,98.3900,0.4691,69.800
muon,0.01,44,15,1500,0.043500,98.8300,0.4264,72.200
muon,0.01,44,15,1550,0.044100,98.8200,0.3842,74.300
muon,0.01,44,16,1600,0.033000,99.2000,0.3429,76.700
muon,0.01,44,17,1650,0.029000,99.6100,0.3027,79.200
muon,0.01,44,17,1700,0.026700,99.3700,0.2640,81.200
muon,0.01,44,18,1750,0.025100,99.3700,0.2271,83.700
muon,0.01,44,18,1800,0.021900,99.5400,0.1921,85.800
muon,0.01,44,19,1850,0.013800,99.8300,0.1594,88.300
muon,0.01,44,19,1900,0.015700,99.7300,0.1293,90.400
muon,0.01,44,20,1950,0.010500,99.8800,0.1018,92.900
muon,0.01,44,20,2000,0.011700,99.8400,0.0774,94.900
muon,0.01,44,21,2050,0.012100,99.8200,0.0560,97.400
muon,0.01,44,21,2100,0.011400,99.8200,0.0379,99.500
muon,0.01,44,22,2150,0.008400,99.9100,0.0232,102.100
muon,0.01,44,22,2200,0.008900,99.9200,0.0120,104.100
muon,0.01,44,23,2250,0.008400,99.9000,0.0045,106.700
muon,0.01,44,23,2300,0.008900,99.8900,0.0006,108.700
muon,0.02,42,0,50,2.197400,26.4000,0.1000,6.500
muon,0.02,42,1,100,1.326500,56.3200,0.2000,9.100
muon,0.02,42,1,150,1.063000,64.9400,0.3000,11.100
muon,0.02,42,2,200,0.650000,78.7800,0.4000,13.500
muon,0.02,42,2,250,0.608600,79.9900,0.5000,15.600
muon,0.02,42,3,300,0.461700,85.1800,0.6000,18.100
muon,0.02,42,3,350,0.460100,85.0200,0.7000,20.200
muon,0.02,42,4,400,0.385100,87.4800,0.8000,23.600
muon,0.02,42,4,450,0.376300,87.6800,0.9000,25.700
muon,0.02,42,5,500,0.324700,89.3100,1.0000,28.200
muon,0.02,42,5,550,0.323500,89.2700,0.9982,30.300
muon,0.02,42,6,600,0.273500,91.1500,0.9926,32.800
muon,0.02,42,6,650,0.273000,90.9800,0.9835,34.800
muon,0.02,42,7,700,0.208400,93.5200,0.9708,37.300
muon,0.02,42,7,750,0.218500,92.9900,0.9546,39.300
muon,0.02,42,8,800,0.177700,94.0500,0.9350,41.800
muon,0.02,42,8,850,0.180000,94.0600,0.9122,43.900
muon,0.02,42,9,900,0.143600,95.5700,0.8864,46.400
muon,0.02,42,9,950,0.152200,95.1300,0.8578,48.500
muon,0.02,42,10,1000,0.118300,96.4100,0.8265,51.000
muon,0.02,42,10,1050,0.124000,96.1300,0.7928,53.000
muon,0.02,42,11,1100,0.099300,97.0100,0.7569,55.500
muon,0.02,42,11,1150,0.103800,96.7400,0.7192,57.600
muon,0.02,42,12,1200,0.080200,97.6200,0.6798,60.100
muon,0.02,42,12,1250,0.083000,97.4600,0.6391,62.100
muon,0.02,42,13,1300,0.067500,97.9600,0.5973,64.600
muon,0.02,42,13,1350,0.068800,97.9100,0.5549,66.700
muon,0.02,42,14,1400,0.054100,98.4700,0.5120,69.100
muon,0.02,42,14,1450,0.054300,98.3900,0.4691,71.200
muon,0.02,42,15,1500,0.043900,98.8200,0.4264,73.600
muon,0.02,42,15,1550,0.043700,98.8100,0.3842,75.700
muon,0.02,42,16,1600,0.033000,99.1900,0.3429,78.100
muon,0.02,42,17,1650,0.020900,99.4100,0.3027,80.700
muon,0.02,42,17,1700,0.024500,99.4100,0.2640,82.700
muon,0.02,42,18,1750,0.021900,99.5600,0.2271,85.200
muon,0.02,42,18,1800,0.019000,99.6200,0.1921,87.300
muon,0.02,42,19,1850,0.013900,99.8000,0.1594,89.800
muon,0.02,42,19,1900,0.014600,99.7100,0.1293,91.900
muon,0.02,42,20,1950,0.012200,99.8000,0.1018,94.300
muon,0.02,42,20,2000,0.011600,99.8200,0.0774,96.400
muon,0.02,42,21,2050,0.009100,99.8900,0.0560,98.900
muon,0.02,42,21,2100,0.009600,99.8700,0.0379,101.000
muon,0.02,42,22,2150,0.008600,99.8400,0.0232,103.500
muon,0.02,42,22,2200,0.008500,99.8700,0.0120,105.600
muon,0.02,42,23,2250,0.007500,99.9400,0.0045,108.100
muon,0.02,42,23,2300,0.007800,99.9200,0.0006,110.100
muon,0.02,43,0,50,2.221700,21.7000,0.1000,6.500
muon,0.02,43,1,100,1.305000,58.7900,0.2000,9.200
muon,0.02,43,1,150,1.087000,63.9600,0.3000,11.400
muon,0.02,43,2,200,0.654700,78.5500,0.4000,13.800
muon,0.02,43,2,250,0.622900,79.4000,0.5000,15.900
muon,0.02,43,3,300,0.459900,85.3500,0.6000,18.300
muon,0.02,43,3,350,0.467300,84.6900,0.7000,21.100
muon,0.02,43,4,400,0.390100,87.5500,0.8000,23.800
muon,0.02,43,4,450,0.388000,87.1300,0.9000,25.900
muon,0.02,43,5,500,0.338100,88.9300,1.0000,28.300
muon,0.02,43,5,550,0.331700,89.0200,0.9982,30.400
muon,0.02,43,6,600,0.264000,91.3200,0.9926,32.800
muon,0.02,43,6,650,0.265700,91.1600,0.9835,34.900
muon,0.02,43,7,700,0.211800,93.3500,0.9708,37.400
muon,0.02,43,7,750,0.219200,92.8700,0.9546,39.500
muon,0.02,43,8,800,0.179500,94.3400,0.9350,41.900
muon,0.02,43,8,850,0.185700,93.9300,0.9122,44.000
muon,0.02,43,9,900,0.151200,95.2000,0.8864,46.400
muon,0.02,43,9,950,0.154800,95.0400,0.8578,48.500
muon,0.02,43,10,1000,0.127500,95.9200,0.8265,51.000
muon,0.02,43,10,1050,0.129000,95.8200,0.7928,53.100
muon,0.02,43,11,1100,0.104300,96.7600,0.7569,55.600
muon,0.02,43,11,1150,0.107800,96.5900,0.7192,57.700
muon,0.02,43,12,1200,0.082100,97.5600,0.6798,60.100
muon,0.02,43,12,1250,0.085700,97.4000,0.6391,62.300
muon,0.02,43,13,1300,0.064600,98.1500,0.5973,64.700
muon,0.02,43,13,1350,0.067000,97.9900,0.5549,66.800
muon,0.02,43,14,1400,0.055000,98.4800,0.5120,69.200
muon,0.02,43,14,1450,0.055500,98.4500,0.4691,71.300
muon,0.02,43,15,1500,0.042600,98.9100,0.4264,73.700
muon,0.02,43,15,1550,0.042700,98.8500,0.3842,75.800
muon,0.02,43,16,1600,0.033900,99.1200,0.3429,78.200
muon,0.02,43,17,1650,0.016500,100.0000,0.3027,80.700
muon,0.02,43,17,1700,0.024200,99.4900,0.2640,82.800
muon,0.02,43,18,1750,0.018200,99.5600,0.2271,85.300
muon,0.02,43,18,1800,0.018100,99.6700,0.1921,87.400
muon,0.02,43,19,1850,0.014300,99.7200,0.1594,89.800
muon,0.02,43,19,1900,0.014900,99.7000,0.1293,91.900
muon,0.02,43,20,1950,0.011700,99.7900,0.1018,94.400
muon,0.02,43,20,2000,0.011800,99.8000,0.0774,96.500
muon,0.02,43,21,2050,0.009000,99.9500,0.0560,99.000
muon,0.02,43,21,2100,0.009300,99.8900,0.0379,101.100
muon,0.02,43,22,2150,0.009500,99.8900,0.0232,103.600
muon,0.02,43,22,2200,0.009100,99.8600,0.0120,105.700
muon,0.02,43,23,2250,0.009800,99.8400,0.0045,108.100
muon,0.02,43,23,2300,0.008600,99.8800,0.0006,110.200
muon,0.02,44,0,50,2.208900,23.8600,0.1000,6.200
muon,0.02,44,1,100,1.347500,54.6200,0.2000,8.400
muon,0.02,44,1,150,1.072600,64.2000,0.3000,10.100
muon,0.02,44,2,200,0.681700,77.9000,0.4000,12.100
muon,0.02,44,2,250,0.607900,80.0700,0.5000,13.800
muon,0.02,44,3,300,0.473200,84.4400,0.6000,15.900
muon,0.02,44,3,350,0.454000,84.9400,0.7000,17.500
muon,0.02,44,4,400,0.389200,87.5200,0.8000,19.600
muon,0.02,44,4,450,0.376600,87.6300,0.9000,21.200
muon,0.02,44,5,500,0.326700,89.3800,1.0000,23.300
muon,0.02,44,5,550,0.321600,89.3400,0.9982,25.000
muon,0.02,44,6,600,0.267800,91.3400,0.9926,27.000
muon,0.02,44,6,650,0.262600,91.4600,0.9835,28.600
