step 390/11342 | loss 5.0816 | lr_mult 0.3900 | tok/s 255374 | grad_norm 4.827
step 400/11342 | loss 5.0718 | lr_mult 0.4000 | tok/s 255392 | grad_norm 5.951
step 410/11342 | loss 5.0140 | lr_mult 0.4100 | tok/s 255411 | grad_norm 5.123
step 420/11342 | loss 4.9288 | lr_mult 0.4200 | tok/s 255428 | grad_norm 4.481
step 430/11342 | loss 4.9238 | lr_mult 0.4300 | tok/s 255445 | grad_norm 5.314
step 440/11342 | loss 4.8393 | lr_mult 0.4400 | tok/s 255462 | grad_norm 4.606
step 450/11342 | loss 4.8399 | lr_mult 0.4500 | tok/s 255478 | grad_norm 6.874
step 460/11342 | loss 4.8200 | lr_mult 0.4600 | tok/s 255493 | grad_norm 5.331
step 470/11342 | loss 4.7599 | lr_mult 0.4700 | tok/s 255506 | grad_norm 5.140
step 480/11342 | loss 4.7000 | lr_mult 0.4800 | tok/s 255521 | grad_norm 5.221
step 490/11342 | loss 4.6959 | lr_mult 0.4900 | tok/s 255535 | grad_norm 4.216
step 500/11342 | loss 4.7587 | lr_mult 0.5000 | tok/s 255548 | grad_norm 4.828
step 500/11342 | val_loss 4.7009
step 510/11342 | loss 4.6770 | lr_mult 0.5100 | tok/s 253828 | grad_norm 4.804
step 520/11342 | loss 4.6185 | lr_mult 0.5200 | tok/s 253873 | grad_norm 4.548
step 530/11342 | loss 4.6308 | lr_mult 0.5300 | tok/s 253921 | grad_norm 6.210
step 540/11342 | loss 4.6263 | lr_mult 0.5400 | tok/s 253965 | grad_norm 4.207
step 550/11342 | loss 4.5247 | lr_mult 0.5500 | tok/s 254007 | grad_norm 4.809
step 560/11342 | loss 4.5716 | lr_mult 0.5600 | tok/s 254047 | grad_norm 4.741
step 570/11342 | loss 4.5282 | lr_mult 0.5700 | tok/s 254087 | grad_norm 4.721
step 580/11342 | loss 4.5012 | lr_mult 0.5800 | tok/s 254124 | grad_norm 4.792
step 590/11342 | loss 4.4688 | lr_mult 0.5900 | tok/s 254162 | grad_norm 3.844
step 600/11342 | loss 4.4821 | lr_mult 0.6000 | tok/s 254196 | grad_norm 4.326
step 610/11342 | loss 4.4325 | lr_mult 0.6100 | tok/s 254231 | grad_norm 3.717
step 620/11342 | loss 4.4199 | lr_mult 0.6200 | tok/s 254265 | grad_norm 5.432
step 630/11342 | loss 4.3992 | lr_mult 0.6300 | tok/s 254298 | grad_norm 4.397
step 640/11342 | loss 4.3610 | lr_mult 0.6400 | tok/s 254329 | grad_norm 4.352
step 650/11342 | loss 4.3334 | lr_mult 0.6500 | tok/s 254360 | grad_norm 5.058
step 660/11342 | loss 4.2997 | lr_mult 0.6600 | tok/s 254390 | grad_norm 4.951
step 670/11342 | loss 4.2968 | lr_mult 0.6700 | tok/s 254418 | grad_norm 3.923
step 680/11342 | loss 4.2560 | lr_mult 0.6800 | tok/s 254447 | grad_norm 4.039
step 690/11342 | loss 4.2471 | lr_mult 0.6900 | tok/s 254475 | grad_norm 3.233
step 700/11342 | loss 4.2390 | lr_mult 0.7000 | tok/s 254502 | grad_norm 3.362
step 710/11342 | loss 4.2488 | lr_mult 0.7100 | tok/s 254530 | grad_norm 3.550
step 720/11342 | loss 4.2229 | lr_mult 0.7200 | tok/s 254556 | grad_norm 3.850
step 730/11342 | loss 4.2140 | lr_mult 0.7300 | tok/s 254581 | grad_norm 3.756
step 740/11342 | loss 4.1805 | lr_mult 0.7400 | tok/s 254607 | grad_norm 4.417
step 750/11342 | loss 4.2102 | lr_mult 0.7500 | tok/s 254630 | grad_norm 3.703
step 760/11342 | loss 4.2105 | lr_mult 0.7600 | tok/s 254655 | grad_norm 3.979
step 770/11342 | loss 4.1984 | lr_mult 0.7700 | tok/s 254678 | grad_norm 3.847
step 780/11342 | loss 4.1664 | lr_mult 0.7800 | tok/s 254700 | grad_norm 3.822
step 790/11342 | loss 4.1450 | lr_mult 0.7900 | tok/s 254723 | grad_norm 3.452
step 800/11342 | loss 4.1176 | lr_mult 0.8000 | tok/s 254744 | grad_norm 3.971
step 810/11342 | loss 4.1257 | lr_mult 0.8100 | tok/s 254765 | grad_norm 3.533
step 820/11342 | loss 4.1304 | lr_mult 0.8200 | tok/s 254786 | grad_norm 3.431
step 830/11342 | loss 4.0942 | lr_mult 0.8300 | tok/s 254806 | grad_norm 2.929
step 840/11342 | loss 4.0925 | lr_mult 0.8400 | tok/s 254826 | grad_norm 2.523
step 850/11342 | loss 4.1001 | lr_mult 0.8500 | tok/s 254847 | grad_norm 2.879
step 860/11342 | loss 4.0963 | lr_mult 0.8600 | tok/s 254866 | grad_norm 3.066
step 870/11342 | loss 4.0333 | lr_mult 0.8700 | tok/s 254884 | grad_norm 3.344
step 880/11342 | loss 4.0375 | lr_mult 0.8800 | tok/s 254903 | grad_norm 3.117
step 890/11342 | loss 4.0407 | lr_mult 0.8900 | tok/s 254924 | grad_norm 2.572
step 900/11342 | loss 4.0377 | lr_mult 0.9000 | tok/s 254943 | grad_norm 2.447
step 910/11342 | loss 4.0662 | lr_mult 0.9100 | tok/s 254961 | grad_norm 2.563
step 920/11342 | loss 4.0226 | lr_mult 0.9200 | tok/s 254979 | grad_norm 2.318
step 930/11342 | loss 3.9732 | lr_mult 0.9300 | tok/s 254997 | grad_norm 2.326
step 940/11342 | loss 3.9912 | lr_mult 0.9400 | tok/s 255015 | grad_norm 2.541
step 950/11342 | loss 3.9802 | lr_mult 0.9500 | tok/s 255033 | grad_norm 2.811
step 960/11342 | loss 3.9726 | lr_mult 0.9600 | tok/s 255050 | grad_norm 2.809
step 970/11342 | loss 3.9806 | lr_mult 0.9700 | tok/s 255067 | grad_norm 2.618
step 980/11342 | loss 3.9434 | lr_mult 0.9800 | tok/s 255083 | grad_norm 2.074
step 990/11342 | loss 3.9128 | lr_mult 0.9900 | tok/s 255100 | grad_norm 1.975
step 1000/11342 | loss 4.0047 | lr_mult 1.0000 | tok/s 255115 | grad_norm 2.136
step 1000/11342 | val_loss 3.9517
step 1010/11342 | loss 3.9366 | lr_mult 1.0000 | tok/s 254269 | grad_norm 2.028
step 1020/11342 | loss 3.9330 | lr_mult 1.0000 | tok/s 254293 | grad_norm 1.983
step 1030/11342 | loss 3.9124 | lr_mult 1.0000 | tok/s 254317 | grad_norm 1.995
step 1040/11342 | loss 3.9391 | lr_mult 1.0000 | tok/s 254340 | grad_norm 1.659
step 1050/11342 | loss 3.9363 | lr_mult 0.9999 | tok/s 254362 | grad_norm 1.611
step 1060/11342 | loss 3.8675 | lr_mult 0.9999 | tok/s 254384 | grad_norm 1.550
step 1070/11342 | loss 3.8647 | lr_mult 0.9999 | tok/s 254405 | grad_norm 1.586
step 1080/11342 | loss 3.8888 | lr_mult 0.9999 | tok/s 254427 | grad_norm 1.550
step 1090/11342 | loss 3.8748 | lr_mult 0.9998 | tok/s 254449 | grad_norm 1.484
step 1100/11342 | loss 3.8532 | lr_mult 0.9998 | tok/s 254467 | grad_norm 1.424
step 1110/11342 | loss 3.8698 | lr_mult 0.9997 | tok/s 254488 | grad_norm 1.184
step 1120/11342 | loss 3.8394 | lr_mult 0.9997 | tok/s 254508 | grad_norm 1.295
step 1130/11342 | loss 3.8207 | lr_mult 0.9996 | tok/s 254528 | grad_norm 1.422
step 1140/11342 | loss 3.8269 | lr_mult 0.9995 | tok/s 254548 | grad_norm 1.385
step 1150/11342 | loss 3.8040 | lr_mult 0.9995 | tok/s 254566 | grad_norm 1.382
step 1160/11342 | loss 3.7904 | lr_mult 0.9994 | tok/s 254586 | grad_norm 1.253
step 1170/11342 | loss 3.8380 | lr_mult 0.9993 | tok/s 254604 | grad_norm 1.301
step 1180/11342 | loss 3.7677 | lr_mult 0.9993 | tok/s 254622 | grad_norm 1.352
step 1190/11342 | loss 3.8032 | lr_mult 0.9992 | tok/s 254640 | grad_norm 1.286
step 1200/11342 | loss 3.7356 | lr_mult 0.9991 | tok/s 254658 | grad_norm 1.256
step 1210/11342 | loss 3.7694 | lr_mult 0.9990 | tok/s 254675 | grad_norm 1.227
step 1220/11342 | loss 3.7633 | lr_mult 0.9989 | tok/s 254692 | grad_norm 1.216
step 1230/11342 | loss 3.7846 | lr_mult 0.9988 | tok/s 254709 | grad_norm 1.017
step 1240/11342 | loss 3.7336 | lr_mult 0.9987 | tok/s 254725 | grad_norm 1.063
step 1250/11342 | loss 3.7249 | lr_mult 0.9986 | tok/s 254741 | grad_norm 1.041
step 1260/11342 | loss 3.7329 | lr_mult 0.9984 | tok/s 254757 | grad_norm 1.188
step 1270/11342 | loss 3.7041 | lr_mult 0.9983 | tok/s 254773 | grad_norm 1.103
step 1280/11342 | loss 3.7296 | lr_mult 0.9982 | tok/s 254789 | grad_norm 0.993
step 1290/11342 | loss 3.6969 | lr_mult 0.9981 | tok/s 254804 | grad_norm 0.997
step 1300/11342 | loss 3.6876 | lr_mult 0.9979 | tok/s 254819 | grad_norm 0.905
step 1310/11342 | loss 3.7129 | lr_mult 0.9978 | tok/s 254834 | grad_norm 0.915
step 1320/11342 | loss 3.6790 | lr_mult 0.9976 | tok/s 254849 | grad_norm 1.057
step 1330/11342 | loss 3.6905 | lr_mult 0.9975 | tok/s 254863 | grad_norm 0.775
step 1340/11342 | loss 3.7294 | lr_mult 0.9973 | tok/s 254878 | grad_norm 1.079
step 1350/11342 | loss 3.6881 | lr_mult 0.9972 | tok/s 254892 | grad_norm 1.399
step 1360/11342 | loss 3.6633 | lr_mult 0.9970 | tok/s 254907 | grad_norm 0.968
step 1370/11342 | loss 3.6976 | lr_mult 0.9968 | tok/s 254921 | grad_norm 1.019
step 1380/11342 | loss 3.6746 | lr_mult 0.9967 | tok/s 254935 | grad_norm 0.854
step 1390/11342 | loss 3.6561 | lr_mult 0.9965 | tok/s 254949 | grad_norm 1.113
step 1400/11342 | loss 3.6923 | lr_mult 0.9963 | tok/s 254961 | grad_norm 0.823
step 1410/11342 | loss 3.6390 | lr_mult 0.9961 | tok/s 254974 | grad_norm 1.029
step 1420/11342 | loss 3.6448 | lr_mult 0.9959 | tok/s 254987 | grad_norm 0.957
step 1430/11342 | loss 3.6796 | lr_mult 0.9957 | tok/s 255000 | grad_norm 0.943
step 1440/11342 | loss 3.6445 | lr_mult 0.9955 | tok/s 255013 | grad_norm 0.955
step 1450/11342 | loss 3.6285 | lr_mult 0.9953 | tok/s 255026 | grad_norm 0.764
step 1460/11342 | loss 3.6743 | lr_mult 0.9951 | tok/s 255038 | grad_norm 0.906
step 1470/11342 | loss 3.6153 | lr_mult 0.9949 | tok/s 255050 | grad_norm 0.855
step 1480/11342 | loss 3.6479 | lr_mult 0.9947 | tok/s 255062 | grad_norm 0.759
step 1490/11342 | loss 3.6012 | lr_mult 0.9945 | tok/s 255075 | grad_norm 0.773
step 1500/11342 | loss 3.6356 | lr_mult 0.9942 | tok/s 255086 | grad_norm 0.855
step 1500/11342 | val_loss 3.6182
step 1510/11342 | loss 3.6342 | lr_mult 0.9940 | tok/s 254525 | grad_norm 0.742
step 1520/11342 | loss 3.6169 | lr_mult 0.9938 | tok/s 254540 | grad_norm 0.875
step 1530/11342 | loss 3.6031 | lr_mult 0.9935 | tok/s 254554 | grad_norm 0.757
step 1540/11342 | loss 3.6149 | lr_mult 0.9933 | tok/s 254569 | grad_norm 0.939
step 1550/11342 | loss 3.6569 | lr_mult 0.9930 | tok/s 254583 | grad_norm 0.725
step 1560/11342 | loss 3.6132 | lr_mult 0.9928 | tok/s 254597 | grad_norm 0.664
step 1570/11342 | loss 3.6009 | lr_mult 0.9925 | tok/s 254611 | grad_norm 0.652
step 1580/11342 | loss 3.5737 | lr_mult 0.9923 | tok/s 254625 | grad_norm 0.714
step 1590/11342 | loss 3.5537 | lr_mult 0.9920 | tok/s 254639 | grad_norm 0.701
step 1600/11342 | loss 3.6035 | lr_mult 0.9917 | tok/s 254653 | grad_norm 0.747
step 1610/11342 | loss 3.5746 | lr_mult 0.9914 | tok/s 254666 | grad_norm 0.776
step 1620/11342 | loss 3.5527 | lr_mult 0.9912 | tok/s 254679 | grad_norm 0.721
step 1630/11342 | loss 3.5592 | lr_mult 0.9909 | tok/s 254692 | grad_norm 0.894
step 1640/11342 | loss 3.5602 | lr_mult 0.9906 | tok/s 254705 | grad_norm 0.722
step 1650/11342 | loss 3.5920 | lr_mult 0.9903 | tok/s 254718 | grad_norm 0.718
step 1660/11342 | loss 3.5888 | lr_mult 0.9900 | tok/s 254731 | grad_norm 0.614
step 1670/11342 | loss 3.5766 | lr_mult 0.9897 | tok/s 254744 | grad_norm 0.781
step 1680/11342 | loss 3.5187 | lr_mult 0.9894 | tok/s 254757 | grad_norm 0.639
step 1690/11342 | loss 3.5267 | lr_mult 0.9891 | tok/s 254769 | grad_norm 0.629
step 1700/11342 | loss 3.5452 | lr_mult 0.9887 | tok/s 254780 | grad_norm 0.723
step 1710/11342 | loss 3.5733 | lr_mult 0.9884 | tok/s 254793 | grad_norm 0.707
step 1720/11342 | loss 3.5606 | lr_mult 0.9881 | tok/s 254804 | grad_norm 0.702
step 1730/11342 | loss 3.5710 | lr_mult 0.9878 | tok/s 254816 | grad_norm 0.609
step 1740/11342 | loss 3.5657 | lr_mult 0.9874 | tok/s 254828 | grad_norm 0.661
step 1750/11342 | loss 3.5491 | lr_mult 0.9871 | tok/s 254839 | grad_norm 0.703
step 1760/11342 | loss 3.5085 | lr_mult 0.9867 | tok/s 254851 | grad_norm 0.772
step 1770/11342 | loss 3.5294 | lr_mult 0.9864 | tok/s 254862 | grad_norm 0.617
step 1780/11342 | loss 3.5116 | lr_mult 0.9860 | tok/s 254873 | grad_norm 0.632
step 1790/11342 | loss 3.5385 | lr_mult 0.9857 | tok/s 254884 | grad_norm 0.752
step 1800/11342 | loss 3.5387 | lr_mult 0.9853 | tok/s 254895 | grad_norm 0.547
step 1810/11342 | loss 3.5492 | lr_mult 0.9849 | tok/s 254905 | grad_norm 0.537
step 1820/11342 | loss 3.5420 | lr_mult 0.9846 | tok/s 254916 | grad_norm 0.596
step 1830/11342 | loss 3.5200 | lr_mult 0.9842 | tok/s 254927 | grad_norm 0.624
step 1840/11342 | loss 3.5303 | lr_mult 0.9838 | tok/s 254938 | grad_norm 0.645
step 1850/11342 | loss 3.4988 | lr_mult 0.9834 | tok/s 254948 | grad_norm 0.706
step 1860/11342 | loss 3.5424 | lr_mult 0.9830 | tok/s 254958 | grad_norm 0.570
step 1870/11342 | loss 3.5075 | lr_mult 0.9826 | tok/s 254968 | grad_norm 0.653
step 1880/11342 | loss 3.5276 | lr_mult 0.9822 | tok/s 254978 | grad_norm 0.655
step 1890/11342 | loss 3.5035 | lr_mult 0.9818 | tok/s 254987 | grad_norm 0.516
step 1900/11342 | loss 3.5356 | lr_mult 0.9814 | tok/s 254997 | grad_norm 0.722
