step 400/20000 | loss 5.4224 | lr_mult 0.4000 | tok/s 711951 | grad_norm 3.408
step 410/20000 | loss 5.3855 | lr_mult 0.4100 | tok/s 712524 | grad_norm 3.335
step 420/20000 | loss 5.3674 | lr_mult 0.4200 | tok/s 713108 | grad_norm 2.857
step 430/20000 | loss 5.2988 | lr_mult 0.4300 | tok/s 713667 | grad_norm 2.221
step 440/20000 | loss 5.2394 | lr_mult 0.4400 | tok/s 714187 | grad_norm 2.122
step 450/20000 | loss 5.2328 | lr_mult 0.4500 | tok/s 714704 | grad_norm 2.584
step 460/20000 | loss 5.1947 | lr_mult 0.4600 | tok/s 715170 | grad_norm 2.974
step 470/20000 | loss 5.1243 | lr_mult 0.4700 | tok/s 715631 | grad_norm 2.585
step 480/20000 | loss 5.1247 | lr_mult 0.4800 | tok/s 716055 | grad_norm 2.234
step 490/20000 | loss 5.0970 | lr_mult 0.4900 | tok/s 716492 | grad_norm 2.409
step 500/20000 | loss 5.0737 | lr_mult 0.5000 | tok/s 716896 | grad_norm 2.456
step 500/20000 | val_loss 5.0544
step 510/20000 | loss 5.0334 | lr_mult 0.5100 | tok/s 697116 | grad_norm 2.267
step 520/20000 | loss 5.0252 | lr_mult 0.5200 | tok/s 697874 | grad_norm 2.320
step 530/20000 | loss 5.0212 | lr_mult 0.5300 | tok/s 698534 | grad_norm 1.962
step 540/20000 | loss 4.9108 | lr_mult 0.5400 | tok/s 699237 | grad_norm 1.956
step 550/20000 | loss 4.9319 | lr_mult 0.5500 | tok/s 699918 | grad_norm 2.325
step 560/20000 | loss 4.9297 | lr_mult 0.5600 | tok/s 700534 | grad_norm 2.220
step 570/20000 | loss 4.8988 | lr_mult 0.5700 | tok/s 701146 | grad_norm 1.739
step 580/20000 | loss 4.8554 | lr_mult 0.5800 | tok/s 701755 | grad_norm 1.891
step 590/20000 | loss 4.8242 | lr_mult 0.5900 | tok/s 702337 | grad_norm 1.591
step 600/20000 | loss 4.8234 | lr_mult 0.6000 | tok/s 702911 | grad_norm 1.766
step 610/20000 | loss 4.8158 | lr_mult 0.6100 | tok/s 703425 | grad_norm 1.655
step 620/20000 | loss 4.8216 | lr_mult 0.6200 | tok/s 703932 | grad_norm 1.738
step 630/20000 | loss 4.7768 | lr_mult 0.6300 | tok/s 704459 | grad_norm 1.853
step 640/20000 | loss 4.8064 | lr_mult 0.6400 | tok/s 704970 | grad_norm 1.752
step 650/20000 | loss 4.7220 | lr_mult 0.6500 | tok/s 705463 | grad_norm 1.725
step 660/20000 | loss 4.6488 | lr_mult 0.6600 | tok/s 705933 | grad_norm 1.603
step 670/20000 | loss 4.6978 | lr_mult 0.6700 | tok/s 706393 | grad_norm 1.558
step 680/20000 | loss 4.6338 | lr_mult 0.6800 | tok/s 706839 | grad_norm 1.364
step 690/20000 | loss 4.6311 | lr_mult 0.6900 | tok/s 707288 | grad_norm 1.932
step 700/20000 | loss 4.6419 | lr_mult 0.7000 | tok/s 707714 | grad_norm 1.803
step 710/20000 | loss 4.5805 | lr_mult 0.7100 | tok/s 708121 | grad_norm 1.616
step 720/20000 | loss 4.5657 | lr_mult 0.7200 | tok/s 708515 | grad_norm 1.557
step 730/20000 | loss 4.5533 | lr_mult 0.7300 | tok/s 708881 | grad_norm 1.567
step 740/20000 | loss 4.4721 | lr_mult 0.7400 | tok/s 709239 | grad_norm 1.512
step 750/20000 | loss 4.4818 | lr_mult 0.7500 | tok/s 709621 | grad_norm 1.444
step 760/20000 | loss 4.4581 | lr_mult 0.7600 | tok/s 709977 | grad_norm 1.340
step 770/20000 | loss 4.4528 | lr_mult 0.7700 | tok/s 710337 | grad_norm 1.261
step 780/20000 | loss 4.4136 | lr_mult 0.7800 | tok/s 710687 | grad_norm 1.350
step 790/20000 | loss 4.4019 | lr_mult 0.7900 | tok/s 711011 | grad_norm 1.295
step 800/20000 | loss 4.3893 | lr_mult 0.8000 | tok/s 711322 | grad_norm 1.258
step 810/20000 | loss 4.3592 | lr_mult 0.8100 | tok/s 711631 | grad_norm 1.227
step 820/20000 | loss 4.3528 | lr_mult 0.8200 | tok/s 711953 | grad_norm 1.233
step 830/20000 | loss 4.3409 | lr_mult 0.8300 | tok/s 712265 | grad_norm 0.994
step 840/20000 | loss 4.2993 | lr_mult 0.8400 | tok/s 712563 | grad_norm 1.294
step 850/20000 | loss 4.3439 | lr_mult 0.8500 | tok/s 712866 | grad_norm 1.256
step 860/20000 | loss 4.3485 | lr_mult 0.8600 | tok/s 713153 | grad_norm 1.114
step 870/20000 | loss 4.3027 | lr_mult 0.8700 | tok/s 713406 | grad_norm 1.227
step 880/20000 | loss 4.2832 | lr_mult 0.8800 | tok/s 713680 | grad_norm 1.104
step 890/20000 | loss 4.3185 | lr_mult 0.8900 | tok/s 713953 | grad_norm 1.199
step 900/20000 | loss 4.3227 | lr_mult 0.9000 | tok/s 714216 | grad_norm 1.018
step 910/20000 | loss 4.2883 | lr_mult 0.9100 | tok/s 714472 | grad_norm 1.110
step 920/20000 | loss 4.2848 | lr_mult 0.9200 | tok/s 714735 | grad_norm 0.959
step 930/20000 | loss 4.2435 | lr_mult 0.9300 | tok/s 714953 | grad_norm 1.052
step 940/20000 | loss 4.2587 | lr_mult 0.9400 | tok/s 715081 | grad_norm 1.142
step 950/20000 | loss 4.2631 | lr_mult 0.9500 | tok/s 715333 | grad_norm 1.100
step 960/20000 | loss 4.2725 | lr_mult 0.9600 | tok/s 715558 | grad_norm 1.209
step 970/20000 | loss 4.2472 | lr_mult 0.9700 | tok/s 715748 | grad_norm 1.096
step 980/20000 | loss 4.2225 | lr_mult 0.9800 | tok/s 715974 | grad_norm 0.881
step 990/20000 | loss 4.1942 | lr_mult 0.9900 | tok/s 716195 | grad_norm 1.080
step 1000/20000 | loss 4.2069 | lr_mult 1.0000 | tok/s 716414 | grad_norm 1.040
step 1000/20000 | val_loss 4.2141
step 1010/20000 | loss 4.1880 | lr_mult 1.0000 | tok/s 707053 | grad_norm 1.022
step 1020/20000 | loss 4.2399 | lr_mult 1.0000 | tok/s 707343 | grad_norm 0.971
step 1030/20000 | loss 4.2407 | lr_mult 1.0000 | tok/s 707635 | grad_norm 1.061
step 1040/20000 | loss 4.1465 | lr_mult 1.0000 | tok/s 707913 | grad_norm 1.169
step 1050/20000 | loss 4.1797 | lr_mult 1.0000 | tok/s 708189 | grad_norm 0.862
step 1060/20000 | loss 4.1597 | lr_mult 1.0000 | tok/s 708466 | grad_norm 0.855
step 1070/20000 | loss 4.1700 | lr_mult 1.0000 | tok/s 708745 | grad_norm 0.921
step 1080/20000 | loss 4.1296 | lr_mult 1.0000 | tok/s 709012 | grad_norm 0.975
step 1090/20000 | loss 4.1297 | lr_mult 0.9999 | tok/s 709278 | grad_norm 1.028
step 1100/20000 | loss 4.1207 | lr_mult 0.9999 | tok/s 709539 | grad_norm 1.037
